id,sentence,set
s1,"Maar nu veel IS-strijders daar zijn verdreven, verandert die situatie.",1
s2,Dus wat mij betreft is hij van harte welkom.,1
s3,"Hij wil het hebben over zaken die hij belangrijk vindt, en daar zit Gülen alleen maar bij in de weg.",1
s4,Die vraagt één van de zussen van Tharukshan contact op te nemen met de huisarts.,1
s5,"Alleen maar onenigheid ""Gezamenlijk zijn ze het dus nergens over eens en komt er niets"", concludeert Europarlementariër Lenaers.",1
s6,De vergrijzing draagt bij aan de groei van het aantal werkende 55-plussers.,1
s7,"Dat betekent dat als het droog blijft in het stroomgebied van de Rijn, het water niet niet meteen weer zakt.",1
s8,Daarop hervatte de FARC de strijd.,1
s9,"Enkele vluchten liepen vertraging op doordat de stroom uitviel, maar de noodstroom schakelde snel in.",1
s10,Ons dochtertje was door een natuurlijke oorzaak gestorven.,1
s11,"Erdogan liegt nooit, hij is eerlijk"", zegt een dame met een roze hoofddoek.",1
s12,Wel vindt Schoof het belangrijk dat de daders worden opgespoord.,1
s13,De 15-jarige Sem is een van de slachtoffers van de mishandelingen in Gorinchem en deed in de talkshow Beau zijn verhaal: De politie deed de afgelopen week naar eigen zeggen uitgebreid onderzoek naar de filmpjes.,1
s14,De vereniging wil graag in contact komen met omwonenden en andere gebruikers van het bos die een vervelende ervaring hebben gehad met mountainbikers.,1
s15,Maar vanaf morgen zal het allemaal nog veel erger worden en zal de onrust als reactie op de uitkomst van deze grondwetgevende vergadering alleen maar toenemen.,1
s16,"Niemand pleit daar, in een toch al niet zo met nationale tradities en politieke rituelen begiftigd land als het onze, op dit ogenblik voor.",1
s17,Om 16.00 uur Senegal - Colombia en Japan - Polen en om 20.00 uur Engeland - België en Panama - Tunesië.,1
s18,Jullie zijn bij de NPO eigenlijk best wel goed met de hygiëne.,1
s19,Het is eerder geprobeerd.,1
s20,Veiligheid Alleen kijkend naar de veiligheid moet de productie volgens SodM verlaagd worden naar 12 miljard kuub.,1
s21,"We vinden dat je het niet ongestraft kan laten dat je jarenlang toekijkt terwijl kinderen in nood zijn"", zegt een woordvoerder.",1
s22,Ik ga er nog erg van genieten.,1
s23,Via Google Play kun je veel van dit soort apps vinden.,1
s24,"In tegenstelling tot de club waar de naar FC Barcelona vertrekkende Frenkie de Jong ooit begon, ASV Arkel, ontvingen deze amateurclubs wél geld voor de transfer van hun voormalige pupil.",1
s25,Dat is in mijn optiek écht gelijkwaardige schoonheid.,1
s26,"Het doorsnee huishouden krijgt er 2,1 procent koopkracht bij.",1
s27,Dat krijg je ervan als je soldaten gaat vervolgen voor het doden van een terrorist.,1
s28,De vier besloten daarna dat ze wraak zouden nemen op alle Turken.,1
s29,"Het kan wel, maar ik heb dan midden in het verhaal een breuk.",1
s30,"Puigdemont heeft veel risico genomen, vindt Zoutberg.",1
s31,Hij bekende namelijk ook schuldig te zijn aan het overtreden van regels rond campagnefinanciering.,1
s32,Die twijfels kwamen voort uit een jarenlang geschil tussen Palmen en de gemeente over een stuk grond.,1
s33,Het wordt de hoogste tijd dat werknemers die pensioen opbouwen en gepensioneerden daar ook wat van gaan merken.,1
s34,Ik juich overleg in Brussel toe.,1
s35,"Stones, Beatles en vele anderen eren 'Mr.",1
s36,"En: ""Slechts met onvoorwaardelijke steun vanuit de hoogst verantwoordelijken kan je van leiders verwachten dat zij iets veranderen.",1
s37,Het is onleefbaar.,1
s38,"Als de natuur daar toch al zwak is en met herstelmaatregelen niet kan worden verbeterd, dan hoef je die gebieden ook niet in stand te houden, is de gedachte.",1
s39,Ik denk in vlees en vind het een prachtig product.,1
s40,Samen kost dat ongeveer 100 miljoen.,1
s41,"Ook ruzie maken is lastiger, alles moet met gebaren gedaan worden.",2
s42,Dat zou hij heel goed doen.,2
s43,Met het staatsbezoek aan Vaticaanstad en paus Franciscus komende donderdag schrijft koning Willem-Alexander geschiedenis.,2
s44,De oud-tennisser is verbaasd hoe rustig zijn zoon reageert op de belediging op internet.,2
s45,"Ik zei: ze gaan ervoor betalen, en dat doen ze door de ongelooflijke deal die we met Mexico en Canada hebben gesloten, de USMCA-deal.",2
s46,Huurders moeten zich even vrij kunnen bewegen als de eigenaren van een koophuis.,2
s47,Ik vind het een vreselijke schande dat gezinnen verscheurd worden.,2
s48,Het is en blijft een spelletje.,2
s49,Maar ik weet niet of ik mijn taken in de toekomst nog zo goed kan vervullen als ik dat tot nu toe heb gedaan.,2
s50,Dat zijn armzalige kampen en bovendien worden jezidi's ook daar gediscrimineerd.,2
s51,Ik kan me evenwel voorstellen dat het iets doet met het veiligheidsgevoel van de burgemeester.,2
s52,De ergste woorden krijg je naar je hoofd.,2
s53,Verschillende ministers laten uiteenlopende geluiden horen over hoe de brexit moet worden aangepakt.,2
s54,"Om daar aan toe te voegen: ""Ik denk dat we een aantal dingen hebben om optimistischer te zijn over 2017.",2
s55,Toen de politie hem ondervroeg haalde hij delen van een menselijk been en een hand tevoorschijn.,2
s56,En uiteraard ligt dat aan de halsstarrigheid van Brussel.,2
s57,Als product manager is hij het hele jaar bezig met kerstbomen.,2
s58,"Bij phishing denk je dat je je gegevens invult op de website van je bank of een ander bedrijf waarvan je klant bent, maar in de praktijk speel je de gegevens door aan een oplichter.",2
s59,Ook is het OM van mening dat de hoogte van de wel opgelegde straffen geen recht doet aan de ernst van de zaak.,2
s60,Niemand had verwacht dat Brexit-gesprekken vandaag zo zouden mislukken.,2
s61,"Zulke fabrieken worden op afgelegen plaatsen in loodsen opgebouwd"", vertelde Bert Langerak van de FIOD vanmiddag in het NOS-radioprogramma Nieuws en Co.",2
s62,De nieuwe grens van acht kinderen die met een Stint mogen worden vervoerd in plaats van tien lijkt willekeurig.,2
s63,"Als geen ander kan hij op ongemakkelijke momenten het ijs breken, zelfs tijdens ingewikkelde bezoeken aan hoogwaardigheidsbekleders in het buitenland.",2
s64,Ze hebben er niets aan om zoiets te doen.,2
s65,"Robert-Jan Mastenbroek, eigenaar van crowdfundingsite Dream or Donate, heeft een bedrag van 25.000 euro overgemaakt.",2
s66,Dit is een nagel aan de doodskist van de vrije samenleving waarin we leven en een schoolvoorbeeld van islamisering.,2
s67,"They were waiting for a friend to show up, who did as they were taken out in handcuffs for doing nothing.",2
s68,"Het gaat om de ziekenhuizen in Lelystad, Emmeloord, Urk en Dronten en een verloskundigenpraktijk.",2
s69,Het wordt een kwestie van de lange adem.,2
s70,"Nee, laat een werkgever maar aantonen dat-ie goed zit met de hoogte van de salarissen.",2
s71,Niemand mag zichtbaar een telefoon bij zich hebben en gebruiken.,2
s72,In veel Brabantse gemeenten wordt bijvoorbeeld een vaccinatiegraad van 95% voor mazelen niet gehaald.,2
s73,De ene wijkagent zegt: een bodycam helpt mij enorm in mijn werk.,2
s74,Vanaf morgen dient de strafzaak tegen alle verdachten.,2
s75,De resultaten waren voor de Nederlandse Voedsel- en Warenautoriteit geen reden om in te grijpen.,2
s76,Elke dag te vinden op iTunes en nporadio1.nl/podcasts.,2
s77,Revolutionair daarbij was dat Krueger zijn hypothesen toetste aan de praktijk.,2
s78,"Een slechte zaak, vinden wij.",2
s79,"Terwijl het echt iets met je doet, als je opeens een brief ontvangt waarin wordt beweerd dat er 'duidelijke aanwijzingen zijn dat u geestelijk en/of lichamelijk niet goed functioneert of dat u ernstige psychiatrische problemen heeft'.",2
s80,"En goede schoenen, want ook daar zit je zeker acht uurtjes in.",2
s81,Dat zou voor de EU toch wel een blamage zijn.,3
s82,Daarom moeten we nadenken over een aanvulling op de herdenking.,3
s83,En ook niet met zijn vriendjes denk ik.,3
s84,"Hij was met zijn broertje, ze gaf hem een snelle groet.",3
s85,Het gaat wat beter met haar.,3
s86,Het lukte tot nu toe één persoon om alle zestien stationspiano's op een dag te bespelen: Ernesto Dennis uit Hilversum deed er vorige maand 19 uur en 15 minuten over.,3
s87,Hij zegt al langer dat het te complex zou zijn en dat een nieuwe regeling weer andere vragen en discussies oproept.,3
s88,Er zouden zes mensen zijn omgekomen en meer dan dertig mensen gewond zijn geraakt.,3
s89,De grote vraag is: zijn er nog VVD'ers en CDA'ers met een geweten.,3
s90,De boeren hebben er zelf ook baat bij.,3
s91,Ik heb niet de illusie dat ik hiermee geld ga verdienen.,3
s92,en het bedrijf Solar Solutions.,3
s93,Op Twitter reageren mensen verontwaardigd op de column en wordt opgeroepen aangifte te doen.,3
s94,Bezoekers kunnen dan via internet een kaartje boeken voor een bepaalde tijd.,3
s95,Aan het water zijn in totaal vijf evenementen.,3
s96,Regeren is geen pluche.,3
s97,"En dat vinden ze prima: ""Vrouwencondooms?",3
s98,In het ergste geval moet je een paar uur wachten.,3
s99,Dit zijn de woorden van Arnold Schwarzenegger en de Franse president Emmanuel Macron.,3
s100,Onderzoek zou uitgewezen hebben dat de hoeveelheid straling in de omgeving van het meer normaal is.,3
s101,Je kunt ervan uitgaan dat de prijzen omhooggaan.,3
s102,Hij zou daarmee Jean-Claude Juncker opvolgen.,3
s103,"Reddingsbrigades die rondrijden met bootjes op het dak, water in de straten en lege schappen in de supermarkten.",3
s104,Voor mij speelt dat geen rol.,3
s105,Playstation heeft alles gehaald uit het medium cd.,3
s106,Die ervaring en beleving is niet eenvoudig te vervangen door het internet.,3
s107,Samen hebben zij 1500 vrijwilligers geworven die hebben meegewerkt aan het digitaliseren van de registers.,3
s108,"Het bedrijf is ook actief in andere landen, waaronder Duitsland.",3
s109,"Voor jullie, onze fans in Libanon: het was een pijnlijke beslissing.",3
s110,"Dat zegt de leiding van het bedrijf, dat werkte voor de presidentscampagne van Donald Trump en het leave-kamp van de brexit, in een door het Britse Channel 4 heimelijk opgenomen verkoopgesprek.",3
s111,"Hij doelt op een liedje dat een van de hoofdpersonen, juf Ank, altijd zingt met haar klas.",3
s112,Ook zijn baas is optimistisch over de toekomst.,3
s113,De term 'zelfmoord plegen' zou niet meer gebruikt moeten worden in de media.,3
